Timestamp,Do you have a smartphone?,Are you a regular Internet Subscriber?,What Network do you use for your major Internet Subscription?,How often do you Subscribe for Internet,What is the average amount you spend on Internet? e.g 5000,What is your main purpose of Subscribing ,How satisfied with the Internet service ,Suggestions for improvement
8/28/2023 10:17,Yes,Yes,MTN,Monthly,7000,Personal Use,Satisfied,Faster internet connection 
8/28/2023 10:19,Yes,Yes,MTN,Weekly,5000,General Purpose,Satisfied,Data should last longer 
8/28/2023 10:22,Yes,Yes,MTN,Daily,12000,General Purpose,Satisfied,Nill
8/28/2023 10:28,Yes,Yes,MTN,Monthly,6000,General Purpose,Somewhat Satisfied,Faster Internet speed will be great
8/28/2023 10:29,Yes,Yes,MTN,Monthly,5000,Work Purpose,Satisfied,Ok
8/28/2023 10:31,Yes,Yes,Airtel,Monthly,8000,Educational Purpose,Satisfied,They need to improve on the quality of data let a months data plan suffice through a month and not just 3 days
8/28/2023 10:34,Yes,Yes,MTN,Monthly,15000,General Purpose,Satisfied,The network should be more strong. 
8/28/2023 10:35,Yes,Yes,MTN,Weekly,20000,General Purpose,Somewhat Satisfied,Make internet subscriptions cheaper 
8/28/2023 10:35,Yes,Yes,MTN,Monthly,1000,Personal Use,Somewhat Satisfied,Stable network supply
8/28/2023 10:35,Yes,Yes,MTN,Monthly,5000,General Purpose,Somewhat Satisfied,More reliable service
8/28/2023 10:46,Yes,Yes,MTN,Weekly,5000,General Purpose,Satisfied,Data cost should be reduced due to the constant purchase by Subscribers.
8/28/2023 10:47,Yes,Yes,MTN,Monthly,10000,Work Purpose,Somewhat Satisfied,I will be glad if the tariffs can be reduced because we spend so much on data that is not enough for our usage. 
8/28/2023 10:55,Yes,Yes,MTN,Monthly,5000,General Purpose,Satisfied,Better network service quality
8/28/2023 10:55,Yes,Yes,MTN,Monthly,7000,General Purpose,Somewhat Satisfied,There should be avoidable price for unlimited data . 
8/28/2023 10:56,Yes,Yes,Airtel,Monthly,15000,General Purpose,Very Satisfied,None
8/28/2023 10:58,Yes,Yes,MTN,Monthly,6000,General Purpose,Satisfied,N/A
8/28/2023 10:59,Yes,Yes,MTN,Daily,500,General Purpose,Somewhat Satisfied,Adjust the burn rate. Simplify the subscription flow.
8/28/2023 11:00,Yes,Yes,Airtel,Weekly,5000,Personal Use,Not Satisfied,We want lower internet rates
8/28/2023 11:06,Yes,Yes,Glo,Monthly,5000,General Purpose,Somewhat Satisfied,Network quality should be improved. 
8/28/2023 11:10,Yes,Yes,Airtel,Monthly,10000,General Purpose,Satisfied,AbdulRauf Ibrahim Dantsoho 
8/28/2023 11:14,Yes,Yes,Glo,Monthly,4000,General Purpose,Somewhat Satisfied,Network stability in rural areas 
8/28/2023 11:15,Yes,Yes,MTN,Monthly,20000,General Purpose,Somewhat Satisfied,It should be made pocket friendly and last for the duration of time alloted it
8/28/2023 11:27,Yes,Yes,MTN,Daily,700,General Purpose,Somewhat Satisfied,It’s too expensive 
8/28/2023 11:33,Yes,Yes,MTN,Monthly,3000,General Purpose,Somewhat Satisfied,Nil
8/28/2023 11:47,Yes,Yes,"Other Providers (Smile, Spectranet, etc)",Monthly,25000,General Purpose,Satisfied,downtime and customer service.
8/28/2023 11:49,Yes,Yes,9Mobile,Monthly,5000,General Purpose,Somewhat Satisfied,Sometimes my network goes off for no reason and it is not nice at all.
8/28/2023 11:50,Yes,Yes,MTN,Weekly,3000,General Purpose,Somewhat Satisfied,Improvement on the network generally 
